Column 3| A:0	C:0	G:0	T:0	-:94	
Likelihood	Scale	Scale2
-47.510282	0.461762	1.000000
-47.510282	0.461763	1.000000
-47.510037	0.446095	1.000000
-47.510037	0.446096	1.000000
-47.510037	0.446097	1.000000
-47.509855	0.434492	1.000000
-47.509855	0.434493	1.000000
-47.509855	0.434494	1.000000
-47.509609	0.418828	1.000000
-47.509609	0.418829	1.000000
-47.509610	0.418830	1.000000
-47.509364	0.403162	1.000000
-47.509364	0.403163	1.000000
-47.509364	0.403164	1.000000
-47.509224	0.394236	1.000000
-47.509224	0.394237	1.000000
-47.509224	0.394238	1.000000
-47.508979	0.378569	1.000000
-47.508979	0.378570	1.000000
-47.508979	0.378571	1.000000
-47.508733	0.362900	1.000000
-47.508733	0.362901	1.000000
-47.508733	0.362902	1.000000
-47.508710	0.361387	1.000000
-47.508710	0.361388	1.000000
-47.508710	0.361389	1.000000
-47.508464	0.345720	1.000000
-47.508464	0.345721	1.000000
-47.508464	0.345722	1.000000
-47.508351	0.338468	1.000000
-47.508351	0.338469	1.000000
-47.508351	0.338470	1.000000
-47.508210	0.329507	1.000000
-47.508210	0.329508	1.000000
-47.508210	0.329509	1.000000
-47.507965	0.313841	1.000000
-47.507965	0.313842	1.000000
-47.507965	0.313843	1.000000
-47.507719	0.298169	1.000000
-47.507719	0.298170	1.000000
-47.507719	0.298171	1.000000
-47.507684	0.295904	1.000000
-47.507684	0.295905	1.000000
-47.507684	0.295906	1.000000
-47.507602	0.290680	1.000000
-47.507602	0.290681	1.000000
-47.507602	0.290682	1.000000
-47.507357	0.275014	1.000000
-47.507357	0.275015	1.000000
-47.507357	0.275016	1.000000
-47.507111	0.259344	1.000000
-47.507111	0.259345	1.000000
-47.507111	0.259346	1.000000
-47.507075	0.257055	1.000000
-47.507075	0.257056	1.000000
-47.507075	0.257057	1.000000
-47.506830	0.241387	1.000000
-47.506830	0.241388	1.000000
-47.506830	0.241389	1.000000
-47.506584	0.225718	1.000000
-47.506584	0.225719	1.000000
-47.506584	0.225720	1.000000
-47.506547	0.223347	1.000000
-47.506547	0.223348	1.000000
-47.506547	0.223349	1.000000
-47.506302	0.207679	1.000000
-47.506302	0.207680	1.000000
-47.506302	0.207681	1.000000
-47.506056	0.192011	1.000000
-47.506056	0.192012	1.000000
-47.506056	0.192013	1.000000
-47.505811	0.176343	1.000000
-47.505811	0.176344	1.000000
-47.505811	0.176345	1.000000
-47.505565	0.160676	1.000000
-47.505565	0.160677	1.000000
-47.505565	0.160678	1.000000
-47.505526	0.158188	1.000000
-47.505526	0.158189	1.000000
-47.505526	0.158190	1.000000
-47.505379	0.148764	1.000000
-47.505379	0.148765	1.000000
-47.505379	0.148766	1.000000
-47.505133	0.133091	1.000000
-47.505133	0.133092	1.000000
-47.505133	0.133093	1.000000
-47.505080	0.129678	1.000000
-47.505080	0.129679	1.000000
-47.505080	0.129680	1.000000
-47.504606	0.099478	1.000000
-47.504606	0.099479	1.000000
-47.504606	0.099480	1.000000
-47.504361	0.083809	1.000000
-47.504361	0.083810	1.000000
-47.504361	0.083811	1.000000
-47.504115	0.068139	1.000000
-47.504115	0.068140	1.000000
-47.504116	0.068141	1.000000
-47.504089	0.066446	1.000000
-47.504089	0.066447	1.000000
-47.504089	0.066448	1.000000
-47.504071	0.065305	1.000000
-47.504071	0.065306	1.000000
-47.504071	0.065307	1.000000
-47.504054	0.064230	1.000000
-47.504054	0.064231	1.000000
-47.504054	0.064232	1.000000
-47.503943	0.057118	1.000000
-47.503943	0.057119	1.000000
-47.503943	0.057120	1.000000
-47.503697	0.041448	1.000000
-47.503697	0.041449	1.000000
-47.503697	0.041450	1.000000
-47.503673	0.039876	1.000000
-47.503673	0.039877	1.000000
-47.503673	0.039878	1.000000
-47.503427	0.024208	1.000000
-47.503427	0.024209	1.000000
-47.503427	0.024210	1.000000
-47.503371	0.020612	1.000000
-47.503371	0.020613	1.000000
-47.503371	0.020614	1.000000
-47.503048	0.000001	1.000000
-47.503048	0.000002	1.000000
-47.503048	0.000003	1.000000
-47.503048	0.000001	1.000000
Column 9| A:0	C:0	G:0	T:0	-:17	
Likelihood	Scale	Scale2
-20.360347	1.000000	1.000000
-20.360347	1.000000	1.000000
-20.360347	1.000001	1.000000
-20.360347	1.000002	1.000000
-20.360298	0.994942	1.000000
-20.360298	0.994943	1.000000
-20.360298	0.994944	1.000000
-20.360256	0.990585	1.000000
-20.360256	0.990586	1.000000
-20.360256	0.990587	1.000000
-20.360164	0.980987	1.000000
-20.360164	0.980988	1.000000
-20.360164	0.980989	1.000000
-20.360072	0.971388	1.000000
-20.360072	0.971389	1.000000
-20.360072	0.971390	1.000000
-20.359980	0.961789	1.000000
-20.359980	0.961790	1.000000
-20.359980	0.961791	1.000000
-20.359888	0.952190	1.000000
-20.359888	0.952191	1.000000
-20.359888	0.952192	1.000000
-20.359858	0.949075	1.000000
-20.359858	0.949076	1.000000
-20.359858	0.949077	1.000000
-20.359766	0.939475	1.000000
-20.359766	0.939476	1.000000
-20.359766	0.939477	1.000000
-20.359674	0.929878	1.000000
-20.359674	0.929879	1.000000
-20.359674	0.929880	1.000000
-20.359525	0.914354	1.000000
-20.359525	0.914355	1.000000
-20.359525	0.914356	1.000000
-20.359433	0.904756	1.000000
-20.359433	0.904757	1.000000
-20.359433	0.904758	1.000000
